Date,Open,High,Low,Close,Adj Close,Volume
2015-11-19,216.748001,218.843994,214.936996,217.938995,200.096130,3842740
2015-11-20,217.319000,221.748993,217.319000,219.128998,201.188705,4050862
2015-11-23,219.938995,219.938995,212.556000,213.841995,196.334549,4305888
2015-11-24,212.794006,215.699997,211.983994,213.746002,196.246414,4386325
2015-11-26,214.841995,219.128998,213.604004,217.128998,199.352448,4815678
2015-11-27,217.128998,223.893005,216.794998,220.320007,202.282211,5660627
2015-11-30,221.416000,223.320999,217.985992,218.177002,200.314651,4782849
2015-12-01,219.891998,227.227997,219.414993,226.322998,207.793747,6913345
2015-12-02,228.608994,234.278000,226.847000,232.324997,213.304337,9297832
2015-12-03,228.800003,231.990997,225.608002,228.800003,210.067932,7460474
2015-12-04,226.798996,232.705994,225.893997,228.895004,210.155167,5812852
2015-12-07,233.229996,235.802002,230.990997,232.039001,213.041763,5181312
2015-12-08,230.610001,231.563004,222.464005,223.654999,205.344147,4771435
2015-12-09,222.940002,224.703003,214.270004,216.128006,198.433411,4962204
2015-12-10,216.509003,223.654999,215.794998,221.988007,203.813644,5043195
2015-12-11,223.988007,232.371994,223.988007,229.514008,210.723480,12513883
2015-12-14,227.703995,237.136002,227.179993,233.419998,214.309677,11875759
2015-12-15,235.326004,235.563995,229.848007,232.800995,213.741364,5477706
2015-12-16,234.897003,236.850006,230.658005,233.134995,214.048019,6045633
2015-12-17,235.231003,245.757996,234.421005,244.949005,224.894791,12713159
2015-12-18,244.376999,245.757996,241.994995,243.567001,223.625946,7288697
2015-12-21,243.423996,249.044998,242.613998,246.235001,226.075516,6502570
2015-12-22,246.759003,249.425995,244.425003,245.233994,225.156448,4769687
2015-12-23,249.854996,253.809006,249.854996,251.951004,231.323547,8085026
2015-12-24,253.427994,253.427994,248.283005,250.903000,230.361343,4034479
2015-12-28,251.475006,251.807999,241.042007,242.089996,222.269867,5581413
2015-12-29,243.710007,244.996002,241.376007,243.233994,223.320206,3989059
2015-12-30,244.281998,249.425995,243.042999,246.473007,226.294037,7150693
2015-12-31,247.712006,248.473999,244.806000,247.520996,227.256241,4667281
2016-01-01,246.759003,247.615997,241.423004,245.233994,225.156448,3307909
2016-01-04,242.947998,250.759995,241.138000,244.757996,224.719437,7327733
2016-01-05,245.376999,263.335999,245.376999,261.335999,239.940170,15753483
2016-01-06,259.907013,261.621002,253.427994,256.048004,235.085114,7824538
2016-01-07,250.570007,250.856003,236.468994,238.089005,218.596436,9975180
2016-01-08,240.089996,244.186005,237.279007,241.613998,221.832825,6611968
2016-01-11,235.326004,241.376007,232.705994,239.755997,220.126953,6387245
2016-01-12,241.089996,243.233994,231.658005,234.134995,214.966141,5694492
2016-01-13,236.755005,239.899002,225.798996,234.945007,215.709839,7853668
2016-01-14,223.893005,231.085999,220.559006,227.466003,208.843155,9325559
2016-01-15,231.039001,231.514999,217.319000,218.843994,200.927032,6288878
2016-01-18,218.938995,232.468002,214.556000,224.751007,206.350418,8834992
2016-01-19,226.322998,229.561996,220.320007,226.751007,208.186691,6616835
2016-01-20,221.796997,222.940002,215.794998,221.035004,202.938660,5759001
2016-01-21,223.606995,228.037994,220.320007,224.464996,206.087845,6555133
2016-01-22,227.037003,238.945999,226.417999,236.087997,216.759262,6833746
2016-01-25,237.231003,244.281998,237.041000,242.852997,222.970398,5853184
2016-01-27,242.947998,247.615997,241.423004,245.425003,225.331833,6545003
2016-01-28,244.852997,246.235001,240.470993,242.186005,222.358017,6315180
2016-01-29,242.613998,246.567993,235.755005,237.897995,218.421066,7082718
2016-02-01,237.136002,242.899994,234.850006,237.516998,218.071259,4640019
2016-02-02,238.421997,239.136993,219.225006,220.511002,202.457550,8804608
2016-02-03,217.128998,222.845001,210.983994,213.412994,195.940674,8178043
