Date,Open,High,Low,Close,Adj Close,Volume
2015-05-08,364.516998,367.270996,361.854004,365.389008,352.356110,6254298
2015-05-11,364.516998,369.795990,362.404999,363.782013,350.806366,4711115
2015-05-12,364.058014,366.674988,357.125000,359.513000,346.689667,6802866
2015-05-13,363.598999,367.270996,349.550995,351.248993,338.720459,6321839
2015-05-14,350.743988,360.109985,349.734009,354.416992,341.775421,5383715
2015-05-15,356.252991,362.679993,355.334991,359.925995,347.087891,4242962
2015-05-18,361.761993,367.088013,359.925995,364.929993,351.913452,4776830
2015-05-19,366.260986,371.862000,362.772003,365.434998,352.400452,5931329
2015-05-20,364.746002,370.806000,364.378998,367.776001,354.657898,5541675
2015-05-21,368.190002,369.750000,361.303009,364.011993,351.028168,2776927
2015-05-22,363.140015,366.078003,358.686005,362.588989,349.655975,3523464
2015-05-25,362.588989,375.535004,360.200989,367.179993,354.083191,5868897
2015-05-26,369.108002,373.653015,365.618988,367.776001,354.657898,6849757
2015-05-27,367.408997,379.299011,367.408997,375.304993,361.918365,5511955
2015-05-28,378.289001,378.977997,367.225006,370.026001,356.827667,7871184
2015-05-29,369.795990,399.407990,369.382996,390.777008,376.838531,73812043
2015-06-01,381.915985,386.506989,376.636993,382.513000,368.869232,4640158
2015-06-02,385.955994,389.766998,378.977997,383.890015,370.197205,4671413
2015-06-03,383.936005,388.389008,375.718994,386.278015,372.500031,3980167
2015-06-04,386.093994,389.674988,380.126007,382.329010,368.691895,3564005
2015-06-05,382.880005,387.792999,379.941986,381.595001,367.984039,5425474
2015-06-08,383.201996,383.707001,374.662994,376.958008,363.512421,3100599
2015-06-09,378.289001,378.289001,369.888000,374.571014,361.210571,2957778
2015-06-10,376.269989,384.303986,374.709015,381.089996,367.497009,3726085
2015-06-11,382.971985,383.523010,375.627014,376.958008,363.512421,3371061
2015-06-12,377.463013,386.873993,374.204010,380.859985,367.275208,2482609
2015-06-15,383.614990,384.165985,377.921997,379.803986,366.256897,2556876
2015-06-16,379.253998,381.319000,375.673004,380.401001,366.832642,4206345
2015-06-17,381.595001,389.766998,380.813995,387.747009,373.916565,4775066
2015-06-18,383.890015,397.984009,380.033997,391.557007,377.590698,6745809
2015-06-19,391.602997,401.519012,391.602997,398.489014,384.275452,3678349
2015-06-22,399.316010,400.325989,388.848999,389.766998,375.864563,4059556
